Question,Class
Why don t more universities teach revision control?,CS
Is the CRT still relevant when introducing display hardware,CS
Giving Students a Break,CS
Physical analogy to introduce a Delegate in .Net programming,CS
Pick-me-up exercises for after-lunch brain death,CS
Advantages of teaching basic javascript through typescript,CS
Is there any value in teaching pseudo code?,CS
Using physical activity to explain the nested for loop,CS
Teaching Arduino---but not just  monkey see monkey do ,CS
How do you assess students  understanding of abstraction?,CS
Computer Science vs IT vs Digital Literacy,CS
Going from syntax to CS concepts,CS
Teaching Critical Thinking,CS
Making Technical Presentations Safe for Novices,CS
Good resource for practice problems for inductive proofs,CS
Should I share CS jobs stats at a Girls Who Code session?,CS
How to explain the int   function to a beginner,CS
"Use of learnable programming  via direct manipulation  software, in teaching",CS
How to prevent dictating the solution when tutoring,CS
How should I respond to a student who proposes a  weak  analogy?,CS
Research on gender and attainment in CS,CS
Toy Databases for Class Examples/Homeworks,CS
How do I construct a basic lesson on computational complexity and undecidability?,CS
Best Git strategy for workshop code  starter -> end solution ,CS
A lab activity for the Y-Combinator,CS
How to stop being The Oracle,CS
What s the best way to assess programming?,CS
Paired programming with an odd number of students,CS
Single-dimensional array and simple looping activities of significance,CS
The order of questions on examinations,CS
What should be included in a best practices C course?,CS
"A better database management system, for teaching databases",CS
"Where, sequentially, do Interfaces sit in an introduction to Objects?",CS
Is it possible to teach selection  `if`  before variables,CS
Advantages and Disadvantages of Teaching Block-coding Languages Such As MIT s App Inventor?,CS
"Allowing students to work cooperatively on a computer, and retain access to their work",CS
What are good class exercises on design patterns?,CS
How far do you take modular expressions?,CS
What student exercises force them to modify and extend their own thinking process and methods?,CS
What are good examples that actually motivate the study of recursion?,CS
"Big-endian, Little-endian using analogy",CS
Motivation for learning C++ when you know Java,CS
Opening a machine learning course in high school,CS
Popular demonstration of cryptographic tools,CS
Is it worthwhile to teach assembly nowadays?,CS
Pedagogical reasoning behind a minor difference in two loops,CS
Simple explanation of JPEG working principles,CS
When does excessive collaboration become plagiarism?,CS
What are the core concepts of discrete mathematics within CS?,CS
Answering “How is this useful to me?”,CS
How do teachers motivate students to persevere and learn?,CS
Object Design Lab,CS
How to avoid misconceptions about while loop when using null loop,CS
How to phrase questions about spotting design issues in programs,CS
"Textbooks  Yes, no, roll your own?",CS
What are the tradeoffs of allowing students to submit test corrections?,CS
Blockchain cipher suitable for preschoolers unplugged,CS
Should I teach that 1 kB = 1024 bytes or 1000 bytes?,CS
Is it bad to force my students not to return early?,CS
Is stressing too much on formalism acceptable?,CS
How do you deal with Lone Rangers in group projects?,CS
Use of jshell in AP CS A,CS
Which non-programming skills help make a good programmer?,CS
A meaningful exercise that requires using a destructor,CS
Usefullness of Study Guide,CS
Should I Provide Answers To Exercises?,CS
What are the advantages and disadvantages of cumulative vs percentage grading?,CS
How to help students avoid being distracted by bells and whistles,CS
What should be included in student portfolios for CS?,CS
Resubmitting Projects,CS
How to give assignments that require heavy computational resources?,CS
How can we teach good naming practice for students learning Java?,CS
"What are healthy, productive ways to encourage students to progress to more advanced constructs as opposed to staying with the familiar?",CS
What resources and data sets are available for teaching big data courses?,CS
What are  general purpose programming skills ?,CS
How can I speed up the construction of high quality testing materials?,CS
 Computer sciency  and  practical  exercices involving dictionaries,CS
How to collect and grade Xcode work,CS
Lab Requirement in AP CS A,CS
What screencasting tools can be used for online teaching,CS
"What are the advantages/disadvantages of teaching how to implement Nodes, Linked Lists, Stacks, and Queues before showing built-in implementations?",CS
Criteria for admission to AP CS courses in high school,CS
Process Scheduling is not  Process  Scheduling - Should I disclose it to students?,CS
"Once implicit/inferred typing is introduced, how can I impress upon students the importance of not abusing it?",CS
Interesting Programming Exercises /analogies to Teach Inheritance?,CS
How Can I Explain The Concept Of Zero Knowledge Proofs To Students,CS
Is it better to lie to students or to be pedantic when teaching Intro CS?,CS
Is it ok to use logic programming like Prolog  as students  first language?,CS
Will you tell students that Algorithms + Data Structures = Programs now 21st century ?,CS
Should I correct mistakes in student presentations?,CS
Why isn t Functional Programming Taught First?,CS
Statistics on functional programming in CS1,CS
Can assignments be graded using blockchain?,CS
Courage to Attack Difficult Questions,CS
"Looking for puzzle/game programmes, so students can write solvers",CS
Students frequently distracted by peers and games,CS
How do people prefer to learn web development - videos or text?,CS
Easy to use database for HS students,CS
What can be the causes of the difference in student performance?,CS
Short foundational lessons for 7-8 year olds,CS
How Can I Apply Spaced Repetition To Teaching CS?,CS
Small to medium scale exercises about Haskell s higher abstractions,CS
Will I Regret Using Python As A Teaching Language When I Later Need to Teach Static Typing?,CS
What belongs in a low-math undergraduate AI elective besides ML?,CS
Lab ideas for set theory,CS
How to gamify the learning management system,CS
Software to produce an interactive presentation?,CS
Example for Introduction to Generics in Java ,CS
Need a good  streaming  software for coding tutorials/workshops,CS
Project based on game 2048,CS
Beginner Javascript course - recommended books,CS
What is good age to start learning programming?,CS
Best way to install and maintain windows 10 in a computer lab,CS
Should one study programming by doing hard problem?,CS
Java or Kotlin for beginners  procedural programming knowledge is existing ?,CS
Why and how is it efficient to process sorted arrays than unsorted arrays?,CS
"What is the best way to learn an object oriented programming language with framework, data structure and alogrithms?",CS
Should programming assignments be graded based on results from unit tests or based on the similarity to the correct implementation?,CS
JavaScript to teach Theoretical Computer Science,CS
Code highlight for classroom use,CS
How to explain ETH to undergraduate students?,CS
How to write a grading rubric for coding assignments?,CS
What is a good teaching example/application for jagged arrays  2d arrays with irregular row lengths ?,CS
Which image rotation libraries use the Paeth algorithm?,CS
Curriculum choice for AP Computer Science A,CS
Angular vs React vs Vue,CS
Automatic grading of test-cases,CS
Online Code Review Scripts Like Udacity,CS
Do some websites block school building/classroom IP networks because they mistake us for possible DDOS?,CS
Is the algorithm-recipe analogy a good or a bad one?,CS
How to teach operating systems development nowadays?,CS
"Turtle examples for loops and variables, or even something else",CS
What are the essential ideas that students need to know about Artificial Intelligence?,CS
Thoughts on language for Intro to Data Science?,CS
open source MOOC platforms,CS
Suggestions for teaching selection sort with candy,CS
What is a file?,CS
Concrete example for polymorphism use?,CS
How to teach C++ language to beginners of  BSCS  students who have no any idea about it?,CS
How to introduce Kotlin in a Programming Languages course,CS
"Hardware  cameras, headsets  for TEALS supported classrooms",CS
Discrete function is also a math function? Example,CS
Hand-on ideas on tutorial on setting up a cloud-based server,CS
How to introduce problem solving to primary school pupils?,CS
How does IB Computer Science compare with AP Computer Science?,CS
How to create webpage slides for teaching?,CS
What are some good problems which can be solved with a queue? Example,CS
Projecting the In- class demo screen,CS
How can you efficiently assess students web coding?,CS
"What do A-level students, that have not done GCSE, struggle with?",CS
End of Year Movies For CS Classes,CS
"Shallow, broad and general introduction to programming",CS
Creating Interactive Gnu/Linux shell programming courses,CS
Assignment repositories,CS
Array or vector? Two dimensional array or matrix?,CS
What is a good introductory language for high school?,CS
A real world example for the divide and conquer method,CS
Classification of programming exercises,CS
Any relevant research in Motivation?,CS
Abreviation of practical work assignment?,CS
System to validate run time complexity requirements,CS
Interfaces and Greenfoot,CS
What s the benefit of prohibiting the use of techniques/language constructs that have not been taught?,CS
Hackerrank challenges for a programming course  hide code and show only what is relevant?,CS
what would be a best approach to teach programming to non CS major?,CS
Software tool as in Bret Victor s demo,CS
Any auto grading site that supports all-testcases-in-one-file  and/or in github ?,CS
"A category to classify expressions, statements and blocks",CS
How do you distinguish jargon from normal language in explaining a concept?,CS
Analogy to teach beginners the concept of interrupt,CS
Platform for annotating students  code assignments,CS
Setting up a cloud-server SSH login procedure for a class?  AWS ,CS
How do you wow second-year students into saying  bare-metal programming is cool! ?,CS
Research On Teaching A Second Programming Language/Paradigm,CS
"JavaFX and console-based interfaces, at the CS1 level",CS
Materials on database indexing with examples,CS
Does it make sense to write tutorial when content of the tutorial can be already learned from internet without that tutorial?,CS
How to teach linear programming and reductions?,CS
"Order of learning formal languages, automata, compilers and parsing",CS
What is the best way to teach JavaScript functions to middle schoolers?,CS
Is it worth to learn to make a MD5-hash cracker?,CS
How can we measure proficiency in programming languages?,CS
What are some real life applications of the knapsack problems class?,CS
An Intro to CS course in C++ for CS majors  laying a solid low-level foundation or simple tools and algorithmic thinking?,CS
How can I teach the students a package/module in a computer lab?,CS
What would be your ideal first lecture in a databases course?,CS
What is the CS Analog To Learning One s Multiplication Tables?,CS
Putting feedback comments on source code when grading,CS
Computer Science in the Waldorf curriculum,CS
How to prevent organization/OS students from becoming premature optimizers?,CS
Which are common misconceptions about code execution? How to efficiently debug my student?,CS
An example that compares a computational with a non-computational thinking approach,CS
Robotics Recommendations,CS
Explaining Event-Driven Programming in the context of the Structured Programming Theorem,CS
How can I design online tests and prevent cheating? Pandemic,CS
What evaluation methods can be used that don t involve testing but are adaptable to online courses pandemic,CS
Which topics should one cover in teaching a course titled “Artificial Intelligence and Machine Learning”?,CS
Distributed Pair Programming in distance education pandemic,CS
HS Lessons On Modeling Virus Spread,CS
How to limit access to tests on Blackboard?,CS
Counter-Example for Computability,CS
Advising college students about whether to take classes pass/fail due to pandemic,CS
Online classes  Any good ways to avoid having too many interruptions but at the same time not leaving anyone behind due to the pandemic?,CS
Seeking advice on mentoring without participating in exam cheating in the new chaotic environment of the pandemic,CS
What  process instruction  should instructors give students when assigning a team project?,CS
Is it OK to use  informal  systems such as TeamSpeak or Discord to support classes due to pandemic?,CS
"A beginner example of xor, that is functional  does not switch to procedural ",CS
 FOSS  Application to show/explain compilation?,CS
Computer Science Theory with Haskell?,CS
Is it necessary or advisable to teach text-based input and output in a non-CS intro programming course?,CS
How to design a cloze test for a programming language?,CS
Coding assignments for algorithms and data structures?,CS
Any website or textbook with problems/solutions for Computer Science Theory?,CS
Is there a word for mathematics/physics/data-analytics/....?,CS
How to embed TIC-80 into Computer science 101 course,CS
Problem book for Haskell course,CS
What to teach in an Advanced Computer Networking course?,CS
Creating a pre-recorded lecture,CS
Dataset colection of weighted graphs,CS
Jackson based IDE for programming,CS
Concept of variable,CS
Is CS50 AP available for new teachers for 2020-2021?,CS
Items on grading rubric for a coding assignment,CS
Creating a rubric for computer arithmetic,CS
Where can I find high-quality editable slides for teaching git?,CS
Teaching in class and online cohorts CS pandemic,CS
"When mentoring individuals, teach clean coding and simple/effective thinking or let them do it their way?",CS
"Are there problem sets for trace table problems? If not, what are some good topics to cover?",CS
relationship between ACM curriculum guidelines from 2013 and computing curricula 2020,CS
Looking for good Master Theorem real world examples,CS
How to share solutions in a way they won t get uploaded,CS
Any materials on fractional/quotient languages?,CS
What s a good example of a static factory method returning instances of subclasses?,CS
Looking for a blog article on the UI/UX design of an interactive coding interface like Khan Academy s,CS
REPL environment for teacher assignments,CS
CS educators collaboration communities?,CS
Logo course scaffolding,CS
Concern over plagiarism in designing online course,CS
Are there any conventions for writing logic statements for combinations of logic gate functions?,CS
What do you mean it’s plagiarism? It’s from the docs!”,CS
What is a real-world  production-code  example of a function having default arguments?,CS
Cormen s  Algorithms  pre-requisites,CS
"What are good, practical labs and activities for loops?",CS
Ways to do live polling  aka ConcepTests  during class,CS
Algorithm Design challenges,CS
How to advise change in a curriculum as a new teacher during the pandemic,CS
History of educational programming languages,CS
Using autograding  Github Classroom  - pitfalls and best practices?,CS
Teach smart pointers to beginners with no knowlege of OOP or templates analogy,CS
Number of preps for networking and programming courses,CS
Order of parameter / variables on stack in C,CS
Curriculum for a primary school learner,CS
Trying out the concepts of machine learning during teaching from home pandemic,CS
introduction materials to the actor model?,CS
is there any good specific pedagogy research to teach spreadsheets?,CS
games for teaching html,CS
How to use CSS diner to teach beginners in CSS,CS
Have databases disappeared at GCSE?,CS
Simple use case for self-modifying programs analogy,CS
Reduce snap! s features,CS
How necessary is UML for a course in object programming patterns?,CS
Services-centered design,CS
Do you know online courses with Haskell for Theory of Computation?,CS
How many of  The Seven Laws of Teaching  are still relevant for teaching computer science today?,CS
First programming Language   C or Python?,CS
Why might be the benefits of teaching data structure course in Python?,CS
Open Source Mentoring Programmes for Formal Education,CS
Decorators in Python,CS
COBOL programmers,CS
MERN - Which textbook to use?,CS
Growth of Early CS Students,CS
"Resources for flowchart programming for young, new programmers?",CS
Divide and conquer for subset sum problem,CS
Greedy Algorithm Approach real world,CS
Free online AI/ML demos for grade 8-10 students,CS
Real world examples for the difference between null and zero?,CS
Adding MS excel in curriculum for highschool students,CS
Is there a free to use validated Computer Science concept inventory?,CS
Good resources to teach Natural Language Processing,CS
Reduce Grading & Improve Assignments,CS
Which websites provide real-time updated Jupyter notebooks for Python teaching?,CS
Example of amortized analysis of algorithms rather than data structures,CS
Recommended CS books for high school,CS
What is a good textbook for teaching Web Programming?,CS
Do any Computer Engineering programs have a required digital logic course that comes before the first course in programming,CS
Perspective on assignments,CS
Teaching algorithmic thinking without a programming language,CS
Finding  Filler  projects for students,CS
What are the real-life use cases for for fractional/quotient regular languages?,CS
Object Oriented Software Engineering Project,CS
Help identifying a  90s CYOA-style book with BASIC code listings,CS
Graph / Tree Visualization Software,CS
For and while loops examples for 12-13 years old class,CS
How to respond to the two-handed approach to swapping,CS
Advise needed  GameDev Course Outline,CS
Driven to Abstraction,CS
Any technology for full body video with slides in Zoom pandemic,CS
Grading programming exercises  the quality vs. originality paradox,CS
Do you include coding assignments in an intro to complexity and computation course?,CS
What sort of programming assignments do you give in an FP course?,CS
Why are block graphics being taught?  either  instead of ncurses  or  at all  ,CS
"APCSA 2015 Q3, grading criteria",CS
What effect will AI tools like Codex and CoPilot have on teaching programming  and admissions ,CS
Multithreading in Programming modules,CS
Python Code Sharing Forum,CS
"If a program does not compile, should it get a mark of zero?",CS
Is the choice of the first programming language relevant?,CS
What are some suitable persistence services for storing programming tasks?,CS
Can we do anything to help CS students from 3rd world under developed countries?,CS
"To introduce quantum computing, what metaphors/actual examples of 2-state systems work for teaching, and what misconceptions might they introduce?",CS
First Time teaching 6th & 7th grade computer science,CS
"Searching for algorithms using array, stack, queue, List or no data structure solving interesting problems",CS
Teaching ideas for string algorithm?,CS
Feedback  Mobile Development Course Outline,CS
Are there some strategies to automatically generate assessment questions and answers?,CS
Seek for textbook suggestions of introductory software engineering,CS
Software for runnable algorithmic organigrams,CS
Sourcing PC parts for a hands-on workshop,CS
Why visual program design?,CS
Why do we want small-o and small-omega?,CS
What are ahaslides.com alternatives for interactive polls during a lecture?,CS
How to design an assignment on applications of Formal Verification?,CS
What is a motivating example for a cyclic linked list?,CS
What is an example of class inheritance in every-day life which is easy to write in an object-oriented language?,CS
Computer literacy textbook for first years students in higher education,CS
How can I teach socket programming?,CS
Parent class variable pointing to Child class,CS
Is GitHub Copilot constantly training on private data?,CS
How can I unit test a class in a .cs file that is uploaded or otherwise provided to me?,CS
When people program with GUIs in a Go-To type fashion?,CS
What are some teaching examples for a lesson on off-by-one errors which do not involve a for-loop or array indexing in real world?,CS
What is a real-world example of a for-loop?,CS
What is a real world musical application of linked lists?,CS
Good example for a live optimisation exercise,CS
Designing of code kata focused on _deleting_ code as a primary goal,CS
A video lecture series which explains the modern linux memory management subsystem in detail with code walk through,CS
Style guide for short comments?,CS
Simulator or game to teach operating system principles,CS
How to teach Godel s incompleteness Theorems?,CS
Where can I find some artistically drawn tables demonstrating how a string of text can be stored in ASCII encoding?,CS
"The answers to  Why Are There So Many Programming Languages?  for high school students, not too pedantic",CS
Should a student be allowed to try to answer a question only a few times?,CS
"How do I get students to look at course materials, rather than google?",CS
How do I use a playground to clone and modify demos from a github repo?,CS
How to teach algorithm performances can be measured as O f O f ?,CS
Seeking Effective Examples to Teach OOP Concepts Beyond Common Analogies,CS
What strategies can be implemented to prevent students from cheating while completing online assignments?,CS
How long would it take an average theoretical computer scientist to learn Python to prepare for learning machine learning?,CS
MOSS flags boilerplate code as similar in some pairs but not flagged in other pairs,CS
Best beginner language for a basic course,CS
Resources/material for developing a course on assembly programming,CS
How would you explain to a layman what the parser  the part of the compiler or intepreter  is?,CS
"Automating grading of projects with OOP and unit tests, but without imposing rigid design requirements",CS
How to prevent students from using AI?,CS
"Immediate feedback in Gradescope, without gaming",CS
Using IDEs with built-in AI code assistance for introductory courses,CS
What are the ideal textbooks and other resources to use when teaching Internet of things to Undergraduates?,CS
How important is relational algebra in 2024?,CS
"How is this possible - code submission with multiple syntax errors, but otherwise works?",CS
Didactic tool to play with deterministic and nondeterministic finite automata,CS
Equivalent of PISA study for standardised assessment of skills on computational thinking and programming?,CS
How can I integrate teaching source code control  Git/Mercurial/etc  into my introductory CS class?,CS
How to deal with students that don t like CS?,CS
How can we educators improve a lot of the negative behavior within the CS community,CS
Encourage students to learn and use advanced design,CS
Objects Lab Before Inheritance and Polymorphism,CS
Cheating on labs,CS
Analogy for teaching recursion,CS
What are pre-requisites for teaching version control to a high school CS class?,CS
Do automatic style hints help students to understand the language they re learning?,CS
How to raise students  security awareness in programming?,CS
What to consider when choosing version of Python?,CS
"In a course about Turing machines, how many questions like  Construct a Turing Machine that does X  should I include?",CS
Should I have written tests on basic programming skills?,CS
Best Practices / Effective Strategies For Building Diversity In High School CS Programs,CS
What qualities should be considered when designing a front end project?,CS
What can Snap! do that Scratch cannot?,CS
"Database theory  normalization  for beginners  adult education, MS Access ",CS
How to teach the importance of indentation,CS
How to explain to people the importance of algorithms in computer programming?,CS
Command-line Java in AP CS A,CS
Programming languages specifically designed for beginners,CS
How can I maintain interest in front end?,CS
Presenting Mapping Reducibility  for P vs NP ,CS
What are the merits of including the history of computers in the entry level curriculum?,CS
Do I need Prolog to teach logic concepts?,CS
Teaching students to hunt for and debug their own errors,CS
"Lesson Idea  Arrays, Pointers, and Syntactic Sugar",CS
Self guided learning about audio processing,CS
Introducing A* Search Algorithm,CS
Are userscripts a good teaching tool?,CS
Effectiveness of Parsons Problems,CS
How to illustrate scope problem when creating variables inside `if` statements in Java,CS
Final exam advice,CS
"What program follows  hello, world ?",CS
Assessing programming skills of students under 18 years,CS
What are good sample programs for learning to use a debugger?,CS
In-class server access limits,CS
Basic OOP practice exercises for inheritance and polymorphism,CS
Most beneficial CodingBat problems for AP CS A FRQs,CS
Teaching coding paradigms and concepts with specific context,CS
How can I show the value of best practices?,CS
Good beginning assembly language for teaching about stack function calls,CS
Scope and Sequence for Raspberry Pi Course,CS
What are good projects for metaprogramming?,CS
What are good/bad topics for a non-major CS0 course?,CS
Learning about the Blockchain,CS
How to teach which loop should be used,CS
Explaining how an Interface is a contract,CS
Teaching with just a single Makey Makey and Sphero,CS
What is a good analogy for pass by value vs by reference?,CS
How can I set up Eclipse/eGit/GitHub in a way that is easy for students?,CS
Motivating examples for switch/case in Java,CS
How can I explain lambda calculus to my class?,CS
Integrating Graph Theory into AP CS A,CS
How to explain lambda expressions,CS
How to bring attention to computational complexity?,CS
Introducing the MVC pattern along with JavaFX,CS
Pseudocode or Flowcharts?,CS
Intuitive example of an NP problem,CS
How is your teaching affected by how you learned?,CS
Explaining pointers to highschoolers,CS
Principles of SOLID in OOP using analogy,CS
What are some good examples of using a stack data structure?,CS
How do I convince my students that visual programming is real programming?,CS
How to overcome the TDD/BDD time fallacy,CS
Can sharing learning stats be beneficial to guide beginner students?,CS
Transition from Java to Python,CS
A quick ruby crash course,CS
How to teach a flipped course based on the AI MOOC?,CS
Demonstrating the possible dangers of SQL injection,CS
Curriculum choice for AP Computer Science Principles,CS
Talking about new/active subfields of CS to inspire students,CS
How to supplement Khan Academy,CS
How can I automate the grading of programming assignments?,CS
How to teach competitive programming?,CS
How to integrate CS when learning about DNA/RNA/protein,CS
How to communicate expectations around  rabbit holes ?,CS
"Where can a student independently learn elementary recursion, preferably in Java?",CS
What are effective ways to prepare students for the AP CS Principles Exam?,CS
