ID,Question,Date,Class
1123,Teaching the proper syntax of  such that ,03/12/2017,maths
1124,Are students being adversely affected by cranks or trolls in online math forums?,04/12/2017,maths
1125,Why do we teach estimation in Statistics and Mathematics?,04/12/2017,maths
1126,Should I tell my students that math is hard for me?,05/12/2017,maths
1127,what are some surprising result of math for a kid?,06/12/2017,maths
1128,Phone app or webpage to link HS students to free math tutor?,07/12/2017,maths
1129,Is Lax's Linear Algebra and its Applications comprehensive or idiosyncratic?,08/12/2017,maths
1130,What to teach in a class of 45 minutes about the mean value theorem,09/12/2017,maths
1131,Might it be helpful for students to have different symbols for subtraction (-) and negation ( _ )?,11/12/2017,maths
1132,App to show exercises solved by students in real time,11/12/2017,maths
1133,Resource to supplement to Euclid's Elements,13/12/2017,maths
1134,Real-world Markov chains,13/12/2017,maths
1135,Cognitive demands of a mathematical task,20/12/2017,maths
1136,Teaching undergraduates who expect a high-school-like learning environment,22/12/2017,maths
1137,How to teach students the value of concrete counterexamples?,24/12/2017,maths
1138,books to teach K-12 math/science via real-world approach?,25/12/2017,maths
1139,How to teach a student algebra who misses too much previous knowledge?,26/12/2017,maths
1140,What can I teach a talented student who is enthusiastic about math?,27/12/2017,maths
1141,Grading a limit problem,27/12/2017,maths
1142,Making solutions to all problems freely available,30/12/2017,maths
1143,What are the minimum criteria when checking homework for completion only?,02/01/2018,maths
1144,real world Situation involving the application of addition or subtraction of algebraic fraction,07/01/2018,maths
1145,How should a student's inefficient calculation be pointed out?,08/01/2018,maths
1146,teach that not defined properly,13/01/2018,maths
1147,Can some lovers of math truly never create something previously unseen?,14/01/2018,maths
1148,How to convince the following probability problem to highschool student?,15/01/2018,maths
1149,How to teach real analysis?,16/01/2018,maths
1150,Framework for Compound Inequalities,23/01/2018,maths
1151,Math topics that reward going beyond cookbook methods,23/01/2018,maths
1152,How to write proofs on the board in the classroom,24/01/2018,maths
1153,High School Math Course focused on Sports,24/01/2018,maths
1154,Tips for choosing coordinates of three points such that the coordinates of the orthocenter are integers,24/01/2018,maths
1155,Teacher resources on abacus for elementary school children,27/01/2018,maths
1156,The Way We Teach Square Roots,28/01/2018,maths
1157,Integration by substitution not using letter u,29/01/2018,maths
1158,Ordered checklist for learning Mathematics for Data Science,29/01/2018,maths
1159,Polymorphic functions in vector calculus,31/01/2018,maths
1160,Should Measurement of Angles Using Degree (and perhaps Common Logarithm as well) be Avoided in Pre-Calculus?,07/02/2018,maths
1161,"How to write variables on the board, which are supposed to be italicised?",08/02/2018,maths
1162,Why do no students know to change the limits of integration when doing substitutions?,09/02/2018,maths
1163,Books and worksheets on symmetry,11/02/2018,maths
1164,What software tools allow an educator to display slides but also draw on the slides like MS Paint?,11/02/2018,maths
1165,How to teach calculus effectively to non-math (and noisy) students?,12/02/2018,maths
1166,How much prior math should I review in teaching a graduate-level course?,12/02/2018,maths
1167,Inability to work with an arbitrary mathematical object,13/02/2018,maths
1168,Exponents with Negative Base; with or without Parentheses,16/02/2018,maths
1169,Pedagogical advice/articles for graduate student teaching assistants,19/02/2018,maths
1170,Which book to use concurrently with each of these mathematics texts?,19/02/2018,maths
1171,Should college mathematics always be taught in such a way that real world applications are always included?,20/02/2018,maths
1172,Interesting but very easy epsilon-delta problems?,22/02/2018,maths
1173,To which degree should exams test intelligence vs mastery of the material,22/02/2018,maths
1174, Real world  examples of implicit functions,23/02/2018,maths
1175,How to Write Steps of Solving Equations?,26/02/2018,maths
1176,How to show is a factor of a polynomial if and only if (without division),26/02/2018,maths
1177,Resources for precalculus applications,26/02/2018,maths
1178,What is a recommend way to describe a negative number with large absolute value?,27/02/2018,maths
1179,Why is polynomial factorization over the integers part of secondary school curricula?,27/02/2018,maths
1180,How to teach Leibniz and Newton's notation,01/03/2018,maths
1181,Resources on solving systems of polynomial equations in multivariable calculus setting,01/03/2018,maths
1182,In what curricula are  rectangles  defined so as to exclude squares?,02/03/2018,maths
1183,What's a replacement for  married couples  in combinatorics problems?,02/03/2018,maths
1184,Shifting function graphs: writing vertical offset on the y-side?,03/03/2018,maths
1185,An application of the Cauchy criterion for undergraduates?,04/03/2018,maths
1186,Helping students who make no effort to figure things out for themselves,04/03/2018,maths
1187,How to correct a wrong mental picture of the limit?,05/03/2018,maths
1188,Neat topics or problems to include in a probability class real world,06/03/2018,maths
1189,How would you introduce Frullani integral to students?,09/03/2018,maths
1190,Introducing an axiomatic method to high-school students,13/03/2018,maths
1191,Motivation for uniform continuity,15/03/2018,maths
1192,What are the best places online where math educators can discuss their experience?,16/03/2018,maths
1193,Resources for Teaching Logic to Primary School Children?,16/03/2018,maths
1194,How to explain the concepts of limits and continuity to non-mathematical students,16/03/2018,maths
1195,Algebra best practices for students,17/03/2018,maths
1196,Project Based Learning or Applied Math involving modular arithmetics?,19/03/2018,maths
1197,A student is cheating and I don't know how,19/03/2018,maths
1198,Why define the names of quadrilaterals so that some categories (rhombus and rectangle) intersect and some (kite and trapezoid) are disjoint?,19/03/2018,maths
1199,Computational Software for the whole curriculum and beyond,20/03/2018,maths
1200,Are kindergartners supposed to be steered from squares being rectangles?,20/03/2018,maths
1201,Would it be a good idea to provide students with Khan Academy links?,21/03/2018,maths
1202,Make a matrix algebra course (1st university year) more  project-based ,22/03/2018,maths
1203,What is the ideal teaching style for Calculus exercises only?,23/03/2018,maths
1204,Effective computer lab layouts for a university math class,23/03/2018,maths
1205,How to solve,23/03/2018,maths
1206,implication vs equivalence when solving equations,25/03/2018,maths
1207,Multidisciplinary problem,26/03/2018,maths
1208,How to Teach Middle School Students to Read Square Roots?,28/03/2018,maths
1209,Using tensegrity structure to teach high school math?,01/04/2018,maths
1210,Teaching Calculus Less Formally,03/04/2018,maths
1211,when should we teach basic complex algebra?,04/04/2018,maths
1212,Comparison Tests in Calculus,04/04/2018,maths
1213,Is there a way to report errors in K-12 textbooks?,04/04/2018,maths
1214,Why aren't integral equations often taught  back to back  with differential equations?,07/04/2018,maths
1215,What is the correct symbol to use for ending a counterexample?,10/04/2018,maths
1216,Why most people think that :(fg)?=f??g?(fg)?=f??g??,14/04/2018,maths
1217,Teaching congruent triangles non-rigorously,16/04/2018,maths
1218,Tricks to draw a typical triangle?,17/04/2018,maths
1219,English book for math for (electrical) engineering similar to German  Higher Mathematics ,17/04/2018,maths
1220,Drawing vs Constructing,19/04/2018,maths
1221,Interesting settings for exponential growth or decay real world,19/04/2018,maths
1222,Questions similar to Wason Selection Task,20/04/2018,maths
1223,Mnemonics for some properties in mathematics,27/04/2018,maths
1224,Effective Assessment that's Easy to Grade,27/04/2018,maths
1225,"Subtraction using Addition (Austrian Method), is it useful to learn this method instead of the usual  borrow  method?",30/04/2018,maths
1226,How to build addition with sets?,02/05/2018,maths
1227,Project with transformation geometry,02/05/2018,maths
1228,How can I help a student who has a  wrong  kind of enthusiasm?,03/05/2018,maths
1229,Ten options for multiple choices questions,05/05/2018,maths
1230,What are some very concrete examples of statistical models to present to students?,07/05/2018,maths
1231,"Experiences with Venn diagrams as didactic tool for factors, GCD, LCM?",08/05/2018,maths
1232,How to explain NP-hardness and NP-completeness to students,14/05/2018,maths
1233,"How students write their work, and learning outcomes",14/05/2018,maths
1234,Textbooks explicitly showing the injections for the sum of sets,14/05/2018,maths
1235,What to do if all students lack prerequisites?,17/05/2018,maths
1236,Recommend a vector calculus textbook/resource with an algebraic geometry flavor,17/05/2018,maths
1237,Should Euler's method be taught in calculus 1 courses?,18/05/2018,maths
1238,Why don't textbooks foreground marginally generalized theorems?,18/05/2018,maths
1239,Calculus via a constructivist approach,19/05/2018,maths
1240,Timing of when Cayley-Hamilton theorem is taught in Linear Algebra,19/05/2018,maths
1241,Reference request: undergraduate combinatorial topology,23/05/2018,maths
1242,How to introduce trigonometric ratios (HS) through a cognitive model?,24/05/2018,maths
1243,Ought color be used more in math?,25/05/2018,maths
1244,"Analogies or explanations for duality, at the college sophomore level",26/05/2018,maths
1245,How to teach ordinary differential equations to good students?,27/05/2018,maths
1246,How to resolve the new definition of subtraction and division seen in college algebra?,28/05/2018,maths
1247,"Intuition: 5 regular polyhedra, 6 regular 4-polytopes, and then 3 regular d-polytopes",28/05/2018,maths
1248,Can or should students do research in standard major math courses,31/05/2018,maths
1249,What tools are available for creating visual aids?,03/06/2018,maths
1250,How to explain multiplying and dividing by fractions with real-world examples,03/06/2018,maths
1251,Can be used as a way of representing higher order derivatives?,04/06/2018,maths
1252,Middle / High School Math Teachers and LaTeX,05/06/2018,maths
1253,Ideas for high-school proof class?,07/06/2018,maths
1254,What is the point of teaching variance?,07/06/2018,maths
1255,"What is a good hex board size for kids to learn on, playing short games?",08/06/2018,maths
1256,Justifying the multi-variable chain rule to students,10/06/2018,maths
1257,Adding irrelevant humorous questions to a quiz exam,10/06/2018,maths
1258,Method of Showing Algebraic Work,13/06/2018,maths
1259, Basic ideas  as a concept in teaching maths?,14/06/2018,maths
1260,Exposure to Algebra 2/Calculus Under Time Constraints,14/06/2018,maths
1261,Teaching science and engineering students the field of inverse problems,17/06/2018,maths
1262,How to deal with poor students who don't take notes?,18/06/2018,maths
1263,Should students teach other students?,18/06/2018,maths
1264,Targeted group game for 8 or 9 players,19/06/2018,maths
1265,How to get past the  mystique  of Maths,21/06/2018,maths
1266,How was this maths educational video made?,24/06/2018,maths
1267,Easy tool to draw stencils,25/06/2018,maths
1268,Quizzes (with questions known in advance) instead of homework in a graduate mathematics class. Good Idea or Bad Idea? Pros and Cons?,27/06/2018,maths
1269,Why bother completing the square to find the minimum/maximum of a quadratic function?,27/06/2018,maths
1270,"One course/subject, one class, two lecturers",28/06/2018,maths
1271,Simple Number Theory Task,28/06/2018,maths
1272,Supplemental text for undergraduate real analysis,28/06/2018,maths
1273,"Simple, elegant ways to teach the idea of what functions are for the first time",30/06/2018,maths
1274,Urn (containing colored balls) generator?,02/07/2018,maths
1275,Teaching logic through  high school algebra ?,04/07/2018,maths
1276,Small 'new things' to confront talented high-schoolers with,05/07/2018,maths
1277,"Why do not all professors let students use notes, books, etc. on exams?",06/07/2018,maths
1278,Should I describe the function as  linear  in a freshman calculus class?,09/07/2018,maths
1279,Good real-life examples of transformations of function graphs,13/07/2018,maths
1280,Learning math historically,16/07/2018,maths
1281,Polar form before Cartesian form when introducing complex numbers,17/07/2018,maths
1282,How to present the order of factors and summands for the usual multiplication procedure,18/07/2018,maths
1283,What is the best term for  probability measure  in an undergrad introduction to probability course?,19/07/2018,maths
1284,Should homework be graded in an undergraduate math course?,19/07/2018,maths
1285,Encouraging students to learn probability,20/07/2018,maths
1286,Online quiz with slightly different questions for each student,25/07/2018,maths
1287,What is an intercept?,25/07/2018,maths
1288,Is There Such Thing as Learning Disability in Math?,26/07/2018,maths
1289,Should students be given partial scores when they gave an incomplete proof by contradiction?,31/07/2018,maths
1290,What are standard (or good) textbooks for undergraduate graph theory?,01/08/2018,maths
1291,Why emphasize moment generating function over characteristic function in a probability course?,02/08/2018,maths
1292,Evaluation and feedback using Optical Mark Recognition systems in secondary school,06/08/2018,maths
1293,"Books similar to  Teaching Developmentally , but for high school math",07/08/2018,maths
1294,Downloadable MCQs on Mathematics,08/08/2018,maths
1295,CoTeaching Elementary Linear Algebra,13/08/2018,maths
1296,Has Benezet's teaching experiment ever been reproduced?,14/08/2018,maths
1297,What is the best way to assign letter grades in a math class?,16/08/2018,maths
1298,How To Help a Quiet Class,16/08/2018,maths
1299,What is the preferred method of teaching  linear  differential equations today?,22/08/2018,maths
1300,How can I make  complex  graphs that combine multiple functions with a software?,23/08/2018,maths
1301,Recommend a website for creating geometric figures,23/08/2018,maths
1302,Using an iPad to write on pdf slides,23/08/2018,maths
1303,Should I go over examples straight from the textbook in Calculus lectures?,25/08/2018,maths
1304,What are teachers' expectations on private tutoring in secondary education?,26/08/2018,maths
1305,How to create educational linear algebra animations?,27/08/2018,maths
1306,Pythagorean triples real examples,28/08/2018,maths
1307,Would it be constructive to teach a whole course on how to evaluate certain hard integrals?,29/08/2018,maths
1308,Good (natural) motivational examples for quadratic equations,30/08/2018,maths
1309,Automatically creating homework worksheets from textbook problems,31/08/2018,maths
1310,Motivation for polynomial long division,01/09/2018,maths
1311,Undergraduate Math Seminar topic,02/09/2018,maths
1312,Teaching math long distance,04/09/2018,maths
1313,Harnessing misuse of equals sign,06/09/2018,maths
1314,Geometry sample tests,11/09/2018,maths
1315,'Low-algebra' examples of induction,13/09/2018,maths
1316,a theorem to simplify continuity in Stewart's calculus: early transcendentals,13/09/2018,maths
1317,What is it called when terms disappear when reducing fractions?,14/09/2018,maths
1318,Automated drilling sites with some specific problems,14/09/2018,maths
1319,Examples (for beginners) of real functions which are not given by elementary formulae,15/09/2018,maths
1320,How to correct visualization of mathematical expressions?,16/09/2018,maths
1321,When to use row or column vectors in points and translations,19/09/2018,maths
1322,Intro to Proof: if divides then,19/09/2018,maths
1323,Math Everywhere Activities,19/09/2018,maths
1324,"Teaching math by serving it as games with rules first, not intuition?",22/09/2018,maths
1325,"Succinct description of situations where naively obvious is correct, but for far more complicated reasons?",25/09/2018,maths
1326,Verifying Simple Expression Equivalence in a Spreadsheet,26/09/2018,maths
1327,Intuition for the mean for elementary school kids,29/09/2018,maths
1328,Beyond cubic polynomials: Applications?,29/09/2018,maths
1329,Hardware for real time streaming of writings and drawings,01/10/2018,maths
1330,How to organize a  cheatsheet-making session  with students,01/10/2018,maths
1331,Why do we state the antiderivative of as,03/10/2018,maths
1332,What to include in an  elevator pitch  for an undergraduate statistics class,04/10/2018,maths
1333,Students understand during course but can't solve exam,04/10/2018,maths
1334,why did common core remove so many topics from Algebra II?,07/10/2018,maths
1335,How to explain the sample space of Monty Hall problem?,09/10/2018,maths
1336,Iconic image to explain the fundamental theorem of calculus?,11/10/2018,maths
1337,Are there standard questions for testing how an instructor grades calculus?,12/10/2018,maths
1338,What are some suggestions fo teaching statistics concepts to struggling college students?,14/10/2018,maths
1339,Flow diagrams and summarizing strategies in proof-computation courses: good or bad for learning? Unsuitable for Inquiry-based learning?,14/10/2018,maths
1340,Using discrete examples in the beginning of integration,15/10/2018,maths
1341,Don't these word problems seem designed to be confusing?,16/10/2018,maths
1342,Integrating derivatives over functions problem,17/10/2018,maths
1343,What does  Four selected students are not born in the same months  mean?,22/10/2018,maths
1344,Practical ways to check if a student has mastered a particular topic,28/10/2018,maths
1345,How to help my tutoring students study between sessions,29/10/2018,maths
1346,Formal linear combinations: motivating examples,30/10/2018,maths
1347,More intermediate steps or check well-understanding,30/10/2018,maths
1348,What are tutoring strategies for students struggling in math?,01/11/2018,maths
1349, Always/Sometimes/Never  vs.  True/False  questions for mathematical reasoning,02/11/2018,maths
1350,About the word  limit  used in calculus,02/11/2018,maths
1351,Advice on Full Time Community College Math Instructor Position,03/11/2018,maths
1352,Complex logarithm and,03/11/2018,maths
1353,Line Integral Motivation,06/11/2018,maths
1354,How to explain angle hunting to students,07/11/2018,maths
1355,How to help students understand/remember that has two solutions?,08/11/2018,maths
1356,Is there any example of a  forwards/backwards  induction?,09/11/2018,maths
