ID,Question,Date,Class
179,How do I teach  math equality  vs.  CS assignment  vs.  CS equality logic operator ?,01/07/2017,CS
180,Teaching  CS integer  vs.  math integer ,01/07/2017,CS
181,How to adapt pair programming to a shared terminal environment like Cloud9?,01/07/2017,CS
182,Classroom use of a limited port scan in the wild?,01/07/2017,CS
183,How to communicate expectations around  rabbit holes ?,01/07/2017,CS
184,What would be a good analogy for IP addresses and ports?,02/07/2017,CS
185,How can I convince my fellow CS teachers that reaching every student is a worthwhile goal?,02/07/2017,CS
186,How important is  delivering the content  of a course?,02/07/2017,CS
187,Do Python and Java lead students to construct different mental models of memory?,02/07/2017,CS
188,Lambda expressions exercises and practice,03/07/2017,CS
189,"Where can a student independently learn elementary recursion, preferably in Java?",03/07/2017,CS
190,What advantages/disadvantages have you seen with Pair Programming in the classroom,03/07/2017,CS
191,What are effective ways to prepare students for the AP CS Principles Exam?,03/07/2017,CS
192,Good datasets for intro CS courses?,03/07/2017,CS
193,Is there a compilation of AP CSP scores by curriculum?,03/07/2017,CS
194,How should students be encouraged to reflect and improve after summative assessment?,04/07/2017,CS
195,How do I approach teaching Python to 12-year-olds as a first-time teacher?,04/07/2017,CS
196,How do you encourage students to take criticism of their code constructively?,05/07/2017,CS
197,What is a good analogy to introduce databases and SQL?,05/07/2017,CS
198,What are the benefits/uses of a SMART Board in CS education (or are there none)?,05/07/2017,CS
199,The impact of switching to Java 10,05/07/2017,CS
200,How do you make your CS lectures more interesting?,06/07/2017,CS
201,Should teachers enforce standardization of spacing and braces?,06/07/2017,CS
202,Unit Review for boolean algebra,07/07/2017,CS
203,Should Java Static space and Memory Model be a part of AP CS,07/07/2017,CS
204,How to document the developed work using an agile methodology?,07/07/2017,CS
205,Explaining how the Internet and the World Wide Web work,07/07/2017,CS
206,"Uses of selection in programming (if, switch etc) with examples",07/07/2017,CS
207,How to tell a student that s/he should enroll in a different program?,07/07/2017,CS
208,What should a teacher do with information about plagiarism before the final submission,08/07/2017,CS
209,Best practices for letters of recommendation in CS,08/07/2017,CS
210,Avoiding difficulties when teaching with metaphors and analogies,08/07/2017,CS
211,Review of Information Theory Lab,09/07/2017,CS
212,Working with students with specific secondary skill,10/07/2017,CS
213,What are good models for an Honors Program for CS students?,10/07/2017,CS
214,What would be reasonable to include in an Introduction to AI class for a 7th-8th grade after school program?,10/07/2017,CS
215,What are good models for a Tutorial System for lagging CS students?,10/07/2017,CS
216,"How to make term reports, easy to do (and secondly effective, and accurate)",10/07/2017,CS
217,Advances in CS appropriate for CS1 and CS2 made by female computer scientists,10/07/2017,CS
218,"When a student submits a work that is a copy from a colleague, should you also punish the student that made the work?",10/07/2017,CS
219,Best puzzle type to foster logical thinking,11/07/2017,CS
220,Working on practical projects as a team - good or bad?,11/07/2017,CS
221,Evaluating resources for teaching myself reinforcement learning,11/07/2017,CS
222,Who should own the intellectual property on a program developed in classes?,12/07/2017,CS
223,CS-oriented Ice-Breaker Games,12/07/2017,CS
224,Teaching the humble for loop,13/07/2017,CS
225,Teaching the tradeoffs of the foreach loop,14/07/2017,CS
226,Is it important to teach pointers in a first course using Java?,15/07/2017,CS
227,Is SICP appropriate for an advanced high school CS course?,16/07/2017,CS
228,How can I help students develop intuition about a programming language?,17/07/2017,CS
229,Jargon/Vocab about variables--- yes or no?,17/07/2017,CS
230,What 'procedural' habits to break when teaching 'functional' programming?,17/07/2017,CS
231,Lesson ideas for introducing macros in C,18/07/2017,CS
232,Active learning for boolean algebra,18/07/2017,CS
233,Lesson plan for teaching java graphics,19/07/2017,CS
234,Placement of App Inventor in high school CS curriculum,19/07/2017,CS
235,How should I advise an undergraduate who wants a career teaching CS?,20/07/2017,CS
236,Order to Teach Topics in an Intro Programming Class,20/07/2017,CS
237,How do I explain blockchain using an analogy?,20/07/2017,CS
238,Why would mutation be considered by some as a difficult concept to grasp?,20/07/2017,CS
239,Framework choice for AP CS A students: Swing or JavaFX?,21/07/2017,CS
240,How can I make database normalization more clear?,21/07/2017,CS
241,Teaching high-level versus low-level concepts,22/07/2017,CS
242,Ideas for introducing databases to Android development students,23/07/2017,CS
243,Teaching syntactic sugar,23/07/2017,CS
244,How do I teach git to a teenager,24/07/2017,CS
245,The order of subjects in beginner's curriculum,24/07/2017,CS
246,How to teach students to work with multiple layers of abstraction?,25/07/2017,CS
247,Working around language quirks,26/07/2017,CS
248,Testing students on recursion - tracing by hand / unplugged,26/07/2017,CS
249,Avoiding confusion about precedence,26/07/2017,CS
250,The Tao of TeaChing (Making Mistakes in Front of the Class),27/07/2017,CS
251,How to teach algorithms: implementation or application?,27/07/2017,CS
252,Lab ideas for information theory,28/07/2017,CS
253,What can the instructor do to overcome the Authenticity Bias in students?,29/07/2017,CS
254,Explaining why styling should not be done directly in HTML,30/07/2017,CS
255,What should be in a CyberSecurity Course in secondary school?,30/07/2017,CS
256,How do I teach about inequity in computing resources?,31/07/2017,CS
257,Differentiating Inclusive from Exclusive Or,31/07/2017,CS
258,Dealing with students who are underly-motivated,01/08/2017,CS
259,Does/should a CS education include information about responsible use of human subjects in research,01/08/2017,CS
260,What is a good way to explain computer viruses?,01/08/2017,CS
261,Curricular Support for a CyberPatriot Club,02/08/2017,CS
262,What ethical practices do students (as potential software engineers) need to be trained in?,02/08/2017,CS
263,Teaching when to use MyBlocks,02/08/2017,CS
264,What can CS educators do to help teachers of other subjects include computing in their teaching?,03/08/2017,CS
265,What's a good initial lesson for teaching arduino?,03/08/2017,CS
266,"What are some good real-life examples of pipelining, latency, and throughput?",03/08/2017,CS
267,Should students be taught to be first and foremost: scientists or mathematicians?,04/08/2017,CS
268,Books to use for iOS App Development,04/08/2017,CS
269,How to best use lab periods,04/08/2017,CS
270,How to convey how much computing power has grown since the 1960s?,04/08/2017,CS
271,What is a good design for a Capstone Course in CS?,05/08/2017,CS
272,Effective ways of teaching regex to students who know Java,05/08/2017,CS
273,Books that summarize pedagogical research within our field,07/08/2017,CS
274,What part does formal Ethics training play in your curriculum?,07/08/2017,CS
275,Using zyBooks and labs,08/08/2017,CS
276,Learning fundamental differences between functional programming and Object Oriented Programming,09/08/2017,CS
277,Breaking down the operations when auto-casting gets complex,09/08/2017,CS
278,Incorporating algorithmic complexity in grading,10/08/2017,CS
279,Strategies for independent learners to identify gaps in their knowledge,11/08/2017,CS
280,How can I determine if a student would enjoy or has an aptitude for CS?,11/08/2017,CS
281,Ways to advance the field of computer science education as a non-researcher,12/08/2017,CS
282,"Teaching OOP in Java, to students who already know Java",13/08/2017,CS
283,Independent research on bootcamp job placement claims,13/08/2017,CS
284,Strategies for self-learners to transition into working on larger projects,14/08/2017,CS
285,How to explain combinatorical principles like the rule of product to students who  just don't get it ?,15/08/2017,CS
286,"Good, Motivating Examples for Algorithmic Complexity",16/08/2017,CS
287,How to introduce Scala to a team of Java developers without being boring?,16/08/2017,CS
288,Techniques for encouraging pair programming,17/08/2017,CS
289,Exercises for teaching GUI / Windows interaction basics,17/08/2017,CS
290,Introducing Pair Programming,18/08/2017,CS
291,What hardware can I use when teaching Compiler Language and Assembly Code,18/08/2017,CS
292,Distance or Part-Time Graduate/Doctoral Study,19/08/2017,CS
293,Paper Books or eBooks?,21/08/2017,CS
294,Tools or methods to make projected code easier to follow,21/08/2017,CS
295,What are some examples that could be used when teaching subroutines or methods in the context of OO?,22/08/2017,CS
296,Students can solve programming exercises but not explain their solutions. What to do?,23/08/2017,CS
297,What professional development events or conferences are out there for CS educators?,23/08/2017,CS
298,Intensive basic VBA course - which variables to teach?,25/08/2017,CS
299,How to effectively teach strings and string literal constants?,25/08/2017,CS
300,How to teach Stack Overflow more efficiently?,26/08/2017,CS
301,How many lines does your code have?,26/08/2017,CS
302,Finishing College with Employable Skills,27/08/2017,CS
303,How to answer  functional programming is useless ?,28/08/2017,CS
304,IDE vs Editor and terminal for CS1,29/08/2017,CS
305,Workshops on Cloud (Azure),29/08/2017,CS
306,LINQ to SQL alternative C# Visual Studio 2017 MVC,29/08/2017,CS
307,How can we motivate students to review each other's code?,29/08/2017,CS
308,How can I effectively manage peer evaluation among my students?,29/08/2017,CS
309,Introduction to programming class: use Spreadsheets to introduce fundamentals,30/08/2017,CS
310,Course for the more practical aspects of software development,30/08/2017,CS
311,Best Practices for introductory teaching,31/08/2017,CS
312,Teaching a blind high school student,31/08/2017,CS
313,"Teaching C#, Java, etc. to students who are bad at OOP",01/09/2017,CS
314,Minecraft to teach programming?,01/09/2017,CS
315,Good example of what isn't a system call?,01/09/2017,CS
316,What could be the possible advantages of teaching Scheme as first programming language?,02/09/2017,CS
317,Choosing Java-like language for teaching web development,04/09/2017,CS
318,How to teach beginning students how to find and fix syntax errors?,04/09/2017,CS
319,Helping students adjust to using industrial-strength IDEs,05/09/2017,CS
320,Plagiarism checks for source code,05/09/2017,CS
321,Introducing file systems to students who really don't understand,05/09/2017,CS
322,Is there any purpose to having students do fiddly cache homework assignments?,06/09/2017,CS
323,Does teaching an intro course with a functional language really help level the playing field?,06/09/2017,CS
324,To plan or not to plan that is the question,10/09/2017,CS
325,Is it a good idea to have students see syntax much earlier than they write it themselves?,11/09/2017,CS
326,Show students the consequences of their design decisions,11/09/2017,CS
327,Why don't more universities teach revision control?,11/09/2017,CS
328,Is the CRT still relevant when introducing display hardware,12/09/2017,CS
329,One lecture on VCS: What needs to be covered?,12/09/2017,CS
330,Mini-Projects that can be covered in an 1 hour Haskell tutorial,13/09/2017,CS
331,Functional Programming - using F sharp,13/09/2017,CS
332,Teaching information security to students without basic IT knowledge,14/09/2017,CS
333,Scheme - Which implementation to use for teaching,15/09/2017,CS
334,How to motivate game design/development students to do more than the minimum on homework,19/09/2017,CS
335,Gifted Student Presentations,20/09/2017,CS
336,Giving Students a Break,21/09/2017,CS
337,Physical analogy to introduce a Delegate in .Net programming,22/09/2017,CS
338,What does a certification program for CS high school teachers need to include?,23/09/2017,CS
339,Teaching interaction design to potentially disinterested students,25/09/2017,CS
340,Pick-me-up exercises for after-lunch brain death,26/09/2017,CS
341,Advantages of teaching basic javascript through typescript,27/09/2017,CS
342,Is there any value in teaching goto statement or flowcharts?,27/09/2017,CS
343,Is there any value in teaching pseudo code?,28/09/2017,CS
344,How do I convince students to use Boolean algebra?,28/09/2017,CS
345,How to answer questions about how I became interested in programming?,29/09/2017,CS
346,Example for For vs While Loop (in Java),01/10/2017,CS
347,Using physical activity to explain the nested for loop,03/10/2017,CS
348,Teaching students that printf() is not the same as return using analogy,04/10/2017,CS
349,Is it bad to introduce language features in ways that are different than they will be used in practice?,04/10/2017,CS
350,Teaching Arduino---but not just  monkey see monkey do ,05/10/2017,CS
351,Looking for software that would enable me to cast a screen over LAN,05/10/2017,CS
352,How do you assess students' understanding of abstraction?,05/10/2017,CS
353,What resources would you recommend for K-5 Computer Systems Concept of the CSTA K-12 Standards?,05/10/2017,CS
354,Is there independent evidence that physical computing improves engagement,07/10/2017,CS
355,How to handle objections to the wording of test questions or answers?,09/10/2017,CS
356,Answering student questions as they work outside class,13/10/2017,CS
357,Computer Science vs IT vs Digital Literacy,13/10/2017,CS
358,"How to keep students heads from exploding from complex, interconnected topics",13/10/2017,CS
359,Going from syntax to CS concepts,15/10/2017,CS
360,Peanut Butter and Jelly Ending,16/10/2017,CS
361,Real world example application built with Python and JavaScript?,18/10/2017,CS
362,Encouraging Critical Thinking On Programs Before Students Write Them,19/10/2017,CS
363,Teaching Critical Thinking,20/10/2017,CS
364,Making Technical Presentations Safe for Novices,21/10/2017,CS
365,Good resource for practice problems for inductive proofs,23/10/2017,CS
366,Should I share CS jobs stats at a Girls Who Code session?,23/10/2017,CS
367,Easy on-boarding for grad students to lead outreach?,23/10/2017,CS
368,Could physical (i.e. lego) models help teach CS?,26/10/2017,CS
369,How to explain the int() function to a beginner,26/10/2017,CS
370,Is there some meaningful percentage of students who can't learn to program?,30/10/2017,CS
371,"Encourging Growth mindset, in computing lesson",31/10/2017,CS
372,"Make it easier, and quicker to get to the start",31/10/2017,CS
373,"Use of  learnable programming  (via direct manipulation) software, in teaching",02/11/2017,CS
374,How can we educators improve a lot of the negative behavior within the CS community,02/11/2017,CS
375,How to prevent dictating the solution when tutoring,03/11/2017,CS
376,How should I respond to a student who proposes a  weak  analogy?,03/11/2017,CS
377,What is the pedagogical value of Conway's Game of Life?,04/11/2017,CS
378,Teaching intermediate Java to students familiar with C with analogy,05/11/2017,CS
379,Research on gender and attainment in CS,06/11/2017,CS
380,Clear example of the Object-Relational Mismatch,07/11/2017,CS
381,Teaching students how to construct regular expressions (and other  translation  style problems),09/11/2017,CS
382,Teaching NFAs after DFAs,09/11/2017,CS
383,"Conflicting meaning, between exam board / teaching resources, and technical meaning",14/11/2017,CS
384,Engagement advice on Creative computing,14/11/2017,CS
385,Toy Databases for Class Examples/Homeworks,15/11/2017,CS
386,How do I construct a basic lesson on computational complexity and undecidability?,19/11/2017,CS
387,Best Git strategy for workshop code (starter -> end solution),20/11/2017,CS
388,Search for a useful interactive programming environment,21/11/2017,CS
389,Explaining the Value of Knowledge of Digital Logic,26/11/2017,CS
390,Agile / SCRUM Course Structure: Downsides? Resources?,29/11/2017,CS
391, Franklin  Method for learning good programming?,29/11/2017,CS
392,A lab activity for the Y-Combinator,04/12/2017,CS
393,How to stop being The Oracle,05/12/2017,CS
394,Resource recommendations for teaching OOP via a practice-oriented example real world example,08/12/2017,CS
395,What's the best way to assess programming?,08/12/2017,CS
396,Paired programming with an odd number of students,13/12/2017,CS
397,Single-dimensional array and simple looping activities of significance,15/12/2017,CS
398,Quick and easy intro to computer science for kids for an Engineering Field Day,19/12/2017,CS
399,Enjoyable and\or fun way to explain cmake,19/12/2017,CS
400,The order of questions on examinations,20/12/2017,CS
401,What should be included in a best practices C course?,21/12/2017,CS
402,"A better database management system, for teaching databases",21/12/2017,CS
403,What is a (simple definition of) a development environment? Using analogy,21/12/2017,CS
404,"Where, sequentially, do Interfaces sit in an introduction to Objects?",22/12/2017,CS
405,"Reducing bias, from lesson that improves, as taught to a number of classes",23/12/2017,CS
406,Is it possible to teach selection (`if`) before variables,24/12/2017,CS
407,Advantages and Disadvantages of Teaching Block-coding Languages Such As MIT's App Inventor?,27/12/2017,CS
408,"Allowing students to work cooperatively on a computer, and retain access to their work",28/12/2017,CS
409,Teaching C++ to students that know Java,30/12/2017,CS
410,What are good class exercises on design patterns?,04/01/2018,CS
411,How far do you take modular expressions?,04/01/2018,CS
412,What student exercises force them to modify and extend their own thinking process and methods?,06/01/2018,CS
413,Using Oracle's Java Documentation as a Teaching Tool,09/01/2018,CS
414,What are good examples that actually motivate the study of recursion?,09/01/2018,CS
415,"Big-endian, Little-endian using analogy",10/01/2018,CS
416,Teaching zip and range in Python 3,11/01/2018,CS
417,Motivation for learning C++ when you know Java,13/01/2018,CS
418,Merits of teaching VCS as enrichment,17/01/2018,CS
419,Programming language for teenagers,17/01/2018,CS
420,Opening a machine learning course in high school,17/01/2018,CS
421,Popular demonstration of cryptographic tools,19/01/2018,CS
422,Using questions from a code-competition website in homework and exams,21/01/2018,CS
423,How to explain the concept of a variable to a 9-year old?,21/01/2018,CS
424,Is it worthwhile to teach assembly nowadays?,22/01/2018,CS
425,Is there any pedagogically motivated reason to teach quadratic probing?,23/01/2018,CS
426,How to teach image processing and computer graphics to a blind student?,23/01/2018,CS
427,Pedagogical reasoning behind a minor difference in two loops,24/01/2018,CS
428,Simple explanation of JPEG working principles,28/01/2018,CS
429,Order to teach looping constructs in a non ideal language,29/01/2018,CS
430,When does excessive collaboration become plagiarism?,31/01/2018,CS
431,How to START an Objects-First Course,31/01/2018,CS
432,What are the core concepts of discrete mathematics within CS?,04/02/2018,CS
433,Encourage students to learn and use advanced design,07/02/2018,CS
434,Answering  How is this useful to me? ,07/02/2018,CS
435,Is there evidence of differences in the outcomes of objects-early vs objects-late?,08/02/2018,CS
436,How do teachers motivate students to persevere and learn?,08/02/2018,CS
437,What Notation for Teaching Boolean Logic?,11/02/2018,CS
438,Object Design Lab,12/02/2018,CS
439,How widespread is the use of the PEP/8 assembly simulator in education?,13/02/2018,CS
440,Explaining to students why to use double instead of float (unless there's a very good reason),13/02/2018,CS
441,Boolean Logic: How to Explain + as OR?,18/02/2018,CS
442,How to avoid misconceptions about while loop when using null loop,21/02/2018,CS
443,App Lab/JS confusion between strings and variables,24/02/2018,CS
444,NodeJS and Javascript libraries are overwhelming students,25/02/2018,CS
445,How do you teach something when you don't know it yourself?,26/02/2018,CS
446,How to phrase questions about spotting design issues in programs,28/02/2018,CS
447,"Textbooks: Yes, no, roll your own?",04/03/2018,CS
448,What are the tradeoffs of allowing students to submit test corrections?,05/03/2018,CS
449,Blockchain cipher suitable for preschoolers unplugged,07/03/2018,CS
450,How to help students comprehend the HTML document flow?,07/03/2018,CS
451,Should I teach that 1 kB = 1024 bytes or 1000 bytes?,09/03/2018,CS
452,Is it bad to force my students not to return early?,09/03/2018,CS
453,Is stressing too much on formalism acceptable?,11/03/2018,CS
454,How do you deal with Lone Rangers in group projects?,13/03/2018,CS
455,Use of jshell in AP CS A,14/03/2018,CS
456,Which non-programming skills help make a good programmer?,15/03/2018,CS
457,A meaningful exercise that requires using a destructor,16/03/2018,CS
458,Usefullness of Study Guide,16/03/2018,CS
459,Should I Provide Answers To Exercises?,16/03/2018,CS
