Question,Date,Answer,Student or Teacher or neither,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology
Why teach absolute mean deviation?,08/06/2018,5,n,,,,,,,,,,,,,,,,,,,1,,
Tables of primitives with indication of solution method,12/06/2018,1,n,,,,,,,,,,,,,,,,,,1,,,
What made (abstract) algebra grow in relative importance?,21/06/2018,3,n,,,,,,,,,,,,,,,,,,,1,,
Reference for study about good teachers in a US state,28/06/2018,2,n,,,,,,,,,,,,,,,,,,,,,
On fractions and the least common multiple,08/07/2018,3,n,,,,,,,,,,,,,,,,,,,,,
Trends in math education: Majors? Applied math? Statistics?,14/07/2018,2,n,,,,,,,,,,,,,,,,,,,1,,
"What is the value in creating distinguishing terminology between the xx, yy, and (x,y)(x,y) values of a possible point of extremum?",24/07/2018,4,n,,,,,,,,,,,,,,,,,,,,,1
Integral calculus from the modern viewpoint,25/07/2018,3,n,,,,,,,,,,,,,,,,,,,1,,
Third Grade Question -- This makes no sense to me,12/09/2018,3,n,,,,,,,,,,,,,,,,,,,,,
Are there any studies evaluating the impact of the Mathematics Vision Project?,19/09/2018,0,n,,,,1,,,,,,,,,,,,,,,,,
Why do we study Cantor Set?,29/09/2018,4,n,,,,,,,,,,,,,,,,,,,1,,
UK Secondary School - how advanced (or not) is level 5-8?,26/10/2018,1,n,,,,,,,,,,,,,,,,,,,,,
Is there a difference in the content taught at each university?,31/10/2018,3,n,,,,,,,,,,,,,,,,,,,1,,
Is the constant term a coefficient?,31/10/2018,4,n,,,,,,,,,,,,,,,,,,,,,1
How to explain fractions to 7 year old kid,26/11/2018,10,n,,,,,,,,,,,,,,,,,,1,,,
Could schools jump straight into teaching real numbers first then teaching fractions later?,25/12/2018,2,n,,,,,,,,,,,,,,,,,,,1,,
Are students majoring in pure mathematics expected to know classical results in mathematics very well by their graduation?,21/01/2019,3,n,,,,,,,,,,,,,,,,,,,1,,
"According to Nathan Jacobson, what is Intermediate Algebra and Advanced Algebra?",25/01/2019,0,n,,,,,,,,,,,,,,,,,,,1,,
The concept of infinity for a 5 year old,13/02/2019,21,n,,,,1,,,,,,,,,,,,,,,,,
Why do standard geometry textbooks not start with trigonometry?,13/02/2019,6,n,,,,,,,,,,,,,,,,,,,1,,
Teaching three-year-old subtraction using the number line,17/02/2019,3,n,,,,1,,,,,,,,,,,,,,,,,
"When Euclid was used as a textbook, what exercises did students do?",18/02/2019,5,n,,,,,,,,,,,,,,,,,,1,,,
"How to explain the motivation of parentheses in addition, subtraction and multiplication?",26/02/2019,3,n,,,,,,,,,,,,,,,,,,,,,1
The terminology for an excluded solution,03/03/2019,1,n,,,,,,,,,,,,,,,,,,,,,1
Teaching a child time and hours in a digital world,20/03/2019,2,n,,,,,,,,,,,,,,,,,,1,,,
Which countries adopt metacognition in their official math curricula?,28/03/2019,0,n,,,,,,,,,,,,,,,,,,,1,,
Where do students learn to solve polynomial equations these days?,30/03/2019,5,n,,,,,,,,,,,,,,,,,,,1,,
Classical references on equation solving,30/03/2019,1,n,,,,,,,,,,,,,,,,,,1,,,
Integrated math curriculum in different countries,03/04/2019,1,n,,,,,,,,,,,,,,,,,,,,,
How is math taught in elementary school in Finland?,04/04/2019,1,n,,,,,,,,,,,,,,,,,,,,,
Future in mathematics,04/04/2019,2,n,,,,,,,,,,,,,,,,,,1,,,
Is the education system in Finland particularly good?,10/04/2019,4,n,,,,,,,,,,,,,,,,,,,,,
Mathematical undergraduate education in Syria,27/04/2019,0,n,,,,,,,,,,,,,,,,,,,1,,
What are the benefits of an expertly curated learning pathway?,18/05/2019,2,n,,,,,,,,,,,,,,,,,,,1,,
"What are ""PreK‐12th‐grade students""?",24/05/2019,1,n,,,,,,,,,,,,,,,,,,,,,1
Writing up a proof that assumes what is to be proven?,02/06/2019,4,n,,,,,,,,,,,,,,,,,,,,,1
How many hours / school years does it take for the average child to memorize the 10×1010×10 addition and multiplication tables?,02/06/2019,2,n,,,,,,,,,,,,,,,,,,,,,
Practical applications of integration by substitution where integrand is unknown,12/06/2019,2,n,,,,1,,,,,,,,,,,,,,,,,
Are soroban (Japanese abacus) classes worth doing?,13/06/2019,5,n,,,,,,,,,,,,,,,,,,,1,,
"Interpretation of how to define ""bigger"" and ""smaller"" real numbers",20/06/2019,2,n,,,,,,,,,,,,,,,,,,,,,1
What's the point of exercises without answers?,23/06/2019,2,n,,,,,,,,,,,,,,,,,,,,,
Non-US polynomial division notation,26/06/2019,3,n,,,,1,,,,,,,,,,,,,,,,,
"What’s better: number bonds, or addition tables?",03/07/2019,6,n,,,,1,,,,,,,,,,,,,,,,,
"""Out of fashion"" topics in degree level math",09/07/2019,3,n,,,,,,,,,,,,,,,,,,,1,,
What’s a practical daily application of each times table?,16/07/2019,1,n,,,,1,,,,,,,,,,,,,,,,,
"Examples of solving for unknowns using equivalence relations that are not equality, inequality, or boolean truth?",25/07/2019,3,n,,,,,,,,,,,,,,,,,,,,,
Why are the contents of contest maths so different from contents of degree-level maths?,27/07/2019,5,n,,,,,,1,,,,,,,,,,,,,,,
Examples of application problems of coordinate geometry in the complex plane?,06/08/2019,2,n,,,,1,,,,,,,,,,,,,,,,,
"Is there a more telling name for ""Calculus 2""?",09/08/2019,6,n,,,,,,,,,,,,,,,,,,,,,1
When (and why) did geometric means of more than two numbers exit the secondary curriculum?,19/08/2019,1,n,,,,,,,,,,,,,,,,,,,1,,
"Can we save the word ""unique""?",20/08/2019,3,n,,,,,,,,,,,,,,,,,,,,,1
Finland's performance on international competitions,02/09/2019,2,n,,,,,,,,,,,,,,,,,,,,,
A PEMDAS issue request for explanation,07/09/2019,12,n,,,,,,,,,,,,,,,,,,,,,1
Retain problems and combat regression in learning,08/09/2019,2,n,,,,,,,,,,,,,,,,,,,,,
Pedagogical considerations behind current order of presentation of trigonometry,12/09/2019,5,n,,,,,,,,,,,,,,,,,,,1,,
Would a 1990's educated person need additional content knowledge to tutor high school mathematics today?,13/09/2019,5,n,,,,,,,,,,,,,,,,,,,1,,
Does anyone use the cubic formula these days?,28/09/2019,5,n,,,,,,,,,,,,,,,,,,,1,,
tutorial active learning,29/09/2019,1,n,,,,,,,,,,,,,,,,,,,,,
Why is it popular to teach modulus via the example of mod 12 and analogue clocks?,05/10/2019,1,n,,,,1,,,,,,,,,,,,,,,,,
"How to answer a three-year-old the question ""Why is 2+62+6 the same as 4+44+4""?",01/11/2019,6,n,,,,,,,,,,,,,,,,,,,,,
Why is it possible to teach real numbers before even rigorously defining them?,02/11/2019,16,n,,,,,,,,,,,,,,,,,,,1,,
toys/manipulatives for exploring graph theory,20/11/2019,0,n,,,,,,,,,,,,,,,,,,1,,,
How to address opportunities for improvement with a teacher,21/11/2019,1,n,,,,,,,,,,,,,,,,,,,,,
How much math would a non-STEM major have studied in 1950?,25/11/2019,2,n,,,,,,,,,,,,,,,,,,,1,,
Learn university maths or train for high school competitions: which is better?,30/11/2019,7,n,,,,,,,,,,,,,,,,,,,,,
Resources for Learning Multiplication Facts,16/12/2019,2,n,,,,1,,,,,,,,,,,,,,,,,
How to convince parents that Mathematical puzzles/games help students in their academics too,25/12/2019,4,n,,,,,,,,,,,,,,,,,,,,,
"Misdirected, Side-Tracked, and Distorted Ramanujan: Problems in Basic Math Education?",31/12/2019,1,n,,,,,,,,,,,,,,,,,,,,,
How to teach year 3 undergraduate courses to high school students?,05/01/2020,0,n,,,,1,,,,,,,,,,,,,,,,,
"Are there any more mathematical journals or websites with the ""problems and solutions""?",08/01/2020,2,n,,,,,,,,,,,,,,,,,,1,,,
How much symbolic calculations before plugging in actual values?,18/01/2020,6,n,,,,,,,,,,,,,,,,,,,1,,
What math courses should I take in order to become a secondary math educator?,19/01/2020,4,n,,,,,,,,,,,,,,,,,,,,,
"The term ""unique"" for functions and operations",24/01/2020,3,n,,,,,,,,,,,,,,,,,,,,,1
Is there a game or analogy for searching for a number RR that is multiple of some number AA but not multiple of another BB?,06/02/2020,0,n,,,,,,,,,,,,,,,,,,,,,
Reading old or ancient texts in mathematics,12/02/2020,4,n,,,,,,,,,,,,,,,,,,1,,,
Why is learning mathematics compulsory?,16/02/2020,14,n,,,,,,,,,,,,,,,,,,,1,,
What is the controversial 8th grade algebra mentioned on this answer?,18/02/2020,0,n,,,,,,,,,,,,,,,,,,,1,,
Evaluating textbooks in math and physics,25/02/2020,3,n,,,,,,,,,,,,,,,,,,1,,,
Data on textbook adoptions in universities (math/science),27/02/2020,1,n,,,,,,,,,,,,,,,,,,1,,,
How actually are prime numbers taught in elementary school in United States and how easily do students learn what they're being taught about them?,02/03/2020,2,n,,,,,,,,,,,,,,,,,,,,,
2D drawings of 3D objects in printed school textbooks: orthogonal or perspective?,04/03/2020,2,n,,,,,,,,,,,,,,,,,,,,,1
How to motivate my ten year old math student,09/03/2020,2,n,,,,,,,,,,,1,,,,,,,,,,
"Mental/""Paper and Pencil"" Arithmetic",15/03/2020,1,n,,,,,,,,,,,,,,,,,,,,,
"A Question about Theodore Frankel's ""The Geometry of Physics""",23/03/2020,2,n,,,,,,,,,,,,,,,,,,1,,,
How much does it cost to develop an online course?,27/03/2020,3,n,,,,,,,,,,,,,,,,,,,,,
IMO selection process in Pakistan,07/04/2020,0,n,,,,,,,,,,,,,,,,,,,,,
Dolciani and Sorgenfrey textbook collaboration,19/04/2020,1,n,,,,,,,,,,,,,,,,,,1,,,
Courses equivalent to College Algebra in other countries?,25/04/2020,4,n,,,,,,,,,,,,,,,,,,,,,
Fundamental Ideas in Mathematics,25/04/2020,1,n,,,,,,,,,,,,,,,,,,,,,
Linguistic recursion issues while writing Mathematics textbooks for Basic School,25/04/2020,0,n,,,,,,,,,,,,,,,,,,,,,
Solving open problems through a misunderstanding,12/05/2020,1,n,,,,,,,,,,,,,,,,,,,,,
Is there a 'statistics theory' course plan for practitioners?,18/05/2020,1,n,,,,,,,,,,,,,,,,,,1,,,
Have there been attempts to base early math education on category theory?,20/05/2020,2,n,,,,,,,,,,,,,,,,,,,,,
Curriculum in USA vs. Canada,03/06/2020,2,n,,,,,,,,,,,,,,,,,,,1,,
What are other strategies for a 7 year old for addition and subtraction besides counting fingers?,04/06/2020,4,n,,,,1,,,,,,,,,,,,,,,,,
Math Education for Students who use Right-to-Left Written Languages,16/06/2020,2,n,,,,,,,,,,,,,,,,,,,,,
Logic and proofs in secondary school,02/07/2020,2,n,,,,,,,,,,,,,,,,,,,1,,
Ramanujan results for middle school?,17/07/2020,1,n,,,,1,,,,,,,,,,,,,,,,,
At what age are most children able to convert between rational fractions and decimals?,18/07/2020,5,n,,,,,,,,,,,,,,,,,,,1,,
How can I introduce the idea of eigenvectors and matrix decompositions to a general audience in an engaging manner?,31/07/2020,0,n,,,,1,1,,,,,,,,,,,,,,,,
"Appealing thinking games, that are easy to make; easy to learn, and easy to play",31/07/2020,2,n,,,,,,,,,,,,,,,,,,1,,,
Fear of notation and hazily-appeared writing in Mathematics,03/08/2020,2,n,,,,,,,,,,,,,,,,,,,,,
How do I select an appropriate math tutor?,05/08/2020,1,n,,,,,,,,,,,,,,,,,,,,,
"Are books as old as J.E. Thompson's ""for the practical man"" series outdated?",04/09/2020,2,n,,,,,,,,,,,,,,,,,,,,,1
How can I explain construction of the Bézout's identity to my kid?,06/09/2020,5,n,,,,,,,,,,,,,,,,,,,,,
References for visualizing numbers in base 10 flats,11/09/2020,0,n,,,,,,,,,,,,,,,,,,,,,
Does this property of subtraction and division have a name?,15/09/2020,4,n,,,,,,,,,,,,,,,,,,,,,1
Looking for papers with teaching-oriented style,15/09/2020,0,n,,,,,,,,,,,,,,,,,,,,,
Why we have to be so precise in Geometry?,17/09/2020,6,n,,,,,,,,,,,,,,,,,,,,,
College undergraduate geometry courses,20/09/2020,1,n,,,,,,,,,,,,,,,,,,,1,,
Which Geometry book is more rigorous/harder?,30/09/2020,1,n,,,,,,,,,,,,,,,,,,1,,,
Mental visualisation ability test for each age?,04/10/2020,0,n,,,,,,1,,,,,,,,,,,,,,,
Teaching Mathematics to a Younger Sibling,11/10/2020,2,n,,,,,,,,,,,,,,,,,,1,1,,
Advice: How to cite literature for high-school students?,17/10/2020,2,n,,,,,,,,,,,,,,,,,,,,,
How to explain that winning the lottery is not a 50/50 distribution?,19/10/2020,21,n,,,,,,,,,,,,,,,,,,,,,
Resources for Unit Rates,22/10/2020,1,n,,,,,,,,,,,,,,,,,,,,,
Why is isolating for xx taught before factoring?,04/11/2020,3,n,,,,1,,,,,,,,,,,,,,,1,,
Logarithms chronologically before algebra,15/11/2020,3,n,,,,,,,,,,,,,,,,,,,1,,
Interesting Trigonometry problems,19/11/2020,5,n,,,,,,,,,,,,,,,,,,1,,,
How to explain the LCM algorithm to an 11 year old?,02/12/2020,1,n,,,,1,,,,,,,,,,,,,,,,,
Reference request for 1960s-1970s Australia/NZ primary-level textbooks,03/12/2020,1,n,,,,,,,,,,,,,,,,,,1,,,
Typical structure for walk-in math tutoring in US high schools?,15/12/2020,2,n,,,,,,,,,,,,,,,,,,,,,
Research into the mathematical education of adults with no prior formal mathematical experience,15/12/2020,0,n,,,,,,,,,,,,,,,,,,,,,
How do we explain to a little child that a date in 2020 and a date in 2021 are not necessarily a year apart?,07/01/2021,2,n,,,,,,,,,,,,,,,,,,,,,
How can I explain why we need proofs to someone who has no experience in mathematical thinking?,15/01/2021,23,n,,,,,,,,,,,,,,,,,,,,,
What is the current school of thought concerning accuracy of numeric conversions of measurements?,17/01/2021,11,n,,,,,,,,,,,,,,,,,,,,,
Seeking references for why it is good that students understand why mathematical rules work,24/01/2021,3,n,,,,,,,,,,,,,,,,,,1,,,
Sensible amount of repetition 7 year old,26/01/2021,1,n,,,,,,,,,,,,,,,,,,,,,
Support modelling cycle through differentiated means,07/02/2021,0,n,,,,,,,,,,,,,,,,,,1,,,
What determines whether a textbook publishes all solutions to exercises?,08/02/2021,2,n,,,,,,,,,,,,,,,,,,,,,
Why are all educational textbooks copyrighted? ©,27/02/2021,2,n,,,,,,,,,,,,,,,,,,,,,
Why students do not notice sign of plus/minus?,01/03/2021,0,n,,,,,,,,,,,,,,,,,,,,,
Which product of single digits do children usually get wrong?,03/03/2021,2,n,,,,,,,,,,,,,,,,,,,,,
Successor to School Mathematics Study Group (SMSG),09/03/2021,1,n,,,,,,,,,,,,,,,,,,,,,
Which areas of maths should underperforming western countries focus on?,10/03/2021,0,n,,,,,,,,,,,,,,,,,,,,,
Why do so many people hate math?,27/03/2021,9,n,,,,,,,,,,,,,,,,,,,,,
Which academic subjects examine what the advantages and disadvantages of the various number bases are?,29/03/2021,1,n,,,,,,,,,,,,,,,,,,,,,1
"Did Americans, before new math came in to schools, really say, 'three from two is nine carry the one"", instead of borrowing ten from the tens column?",04/04/2021,2,n,,,,,,,,,,,,,,,,,,,,,1
Matriculation exams like in Europe,06/04/2021,1,n,,,,,,,,,,,,,,,,,,,,,
Parkour and Mathematical Practice?,09/04/2021,3,n,,,,,,,,,,,,,,,,,,,,,
"How many of ""The Seven Laws of Teaching"" are still relevant for teaching maths today?",17/04/2021,3,n,,,,,,,,,,,,,,,,,,,,,
Are there real life examples of normed vector spaces?,26/04/2021,1,n,,,,1,,,,,,,,,,,,,,,,,
Calculus limits taught in the US vs Spain?,01/05/2021,2,n,,,,,,,,,,,,,,,,,,,,,
Is there a math curriculum that is aware of CAS and the internet?,18/05/2021,2,n,,,,,,,,,,,,,,,,,,,,,
Hourly math contests online,20/05/2021,1,n,,,,,,,,,,,,,,,,1,,,,,
Is there a study that compares 8-week vs 16-week math classes?,21/05/2021,3,n,,,,,,,,,,,,,,,,,,,,,
What does research indicate about how one should treat units in elementary school?,30/05/2021,2,n,,,,,,,,,,,,,,,,,,,,,1
Arithmetical Progression,03/06/2021,2,n,,,,,,,,,,,,,,,,,,,,,
Explain to 10 year old — Why do 3D mental pictures usually suffice for high-dimensional geometry?,05/06/2021,4,n,,,,,,,,,,,,,,,,,,,,,
Undergraduate-level abstract algebra books or courses that don't start with groups or rings,23/06/2021,3,n,,,,,,,,,,,,,,,,,,1,,,
Is there a book or Web site that explains how to use and teach the Singapore math block model?,24/06/2021,2,n,,,,,,,,,,,,,,,,,,1,,,
Looking for copies of Vasily Vasilovich Davydov's mathematics curriculum,27/06/2021,1,n,,,,,,,,,,,,,,,,,,1,,,
"What is a good math ""curriculum"" for a mathematically precocious 4-year old?",13/07/2021,2,n,,,,,,,,,,,,,,,,,,,,,
Are there measurements of how much mathematics people remember after high-school?,20/07/2021,0,n,,,,,,,,,,,,,,,,,,,,,
Is Calculus Made Easy by Silvanus P. Thompson a good book for first-time calculus learners?,02/08/2021,5,n,,,,,,,,,,,,,,,,,,1,,,
Math questions for math game,07/08/2021,2,n,,,,,,,,,,,,,,,,,,,,,
The Basic Practice of Statistics vs. Introduction to the Practice of Statistics,29/08/2021,1,n,,,,,,,,,,,,,,,,,,1,,,
Wackerly (2007) vs. Larsen (2018) — Introduction to Mathematical Statistics,04/09/2021,1,n,,,,,,,,,,,,,,,,,,1,,,
How to encourage grade 5 kid very interested in mathematics?,19/09/2021,2,n,,,,,,,,,,,,,,,,,,,,,
"Are there research studies that attempt to determine the value of a ""Growth Mindset?""",01/10/2021,3,n,,,,,,,,,,,,,,,,,,,,,
Teaching Math for Elementary Teachers,30/10/2021,2,n,,,,,,,,,,,,,,,,,,,,,
"To what degree can the legally blind, with computer induced medical problems, study statistics?",07/11/2021,1,n,,,,,,,,,,,,,,,,,,,,,
"What is Algebra 1 ""Number and quantity; Interpreting Data""?",07/11/2021,1,n,,,,,,1,,,,,,,,,,,,,,,
Search for educational articles,20/11/2021,0,n,,,,,,,,,,,,,,,,,,,,,
How do I get started as an online math tutor?,23/11/2021,1,n,,,,,,,,,,,,,,,,,,,,,
What are differences and the examples of syntactic knowlede and substantive knowledge in mathematics?,01/12/2021,0,n,,,,,,,,,,,,,,,,,,,,,1
Preparing to be a linear-algebra teacher: Any tips/suggestions?,14/12/2021,3,n,,,,,,,,,,,,,,,,,,1,,,
Why has the chapter on second-order differential equations been moved to the website instead of being put in the book in Stewart Calculus 9th edition?,08/01/2022,2,n,,,,,,,,,,,,,,,,,,,,,
Is copying working and explanation plagiarism in this context?,18/01/2022,2,n,,,,,,,,,,,,,,,,,,,,,
Is Trigonometry done differently in the US?,20/01/2022,2,n,,,,,,,,,,,,,,,,,,,,,1
Montessori mathematics for HS/college students,24/02/2022,0,n,,,,,,,,,,,,,,,,,,,,,
Best PreCalculus Textbook,24/03/2022,1,n,,,,,,,,,,,,,,,,,,1,,,
Is it normal for a child to strongly prefer addition to subtraction?,07/04/2022,2,n,,,,,,,,,,,,,,,,,,,,,
Do we need to practice equation derivation while learning math if equations will be chunked and automatized?,16/04/2022,5,n,,,,,,,,,,,,,,,,,,,,,
A good way to learn differential equations rigorously,26/04/2022,3,n,,,,1,,,,,,,,,,,,,,,,,
"Is ""Annular Ring"" redundant?",26/05/2022,2,n,,,,,,,,,,,,,,,,,,,,,1
How does the average level of expected mathematical sophistication at high school level increase?,26/05/2022,1,n,,,,,,,,,,,,,,,,,,,1,,
Can a science educator teach math?,28/05/2022,5,n,,,,,,,,,,,,,,,,,,,,,
Is there a widely respected early childhood math curriculum?,28/05/2022,1,n,,,,,,,,,,,,,,,,,,,1,,
Are there pre-printed wall images that might engender understanding in a very young child?,31/05/2022,2,n,,,,,,,,,,,,,,,,,,1,,,
What are your experiences with Buck’s Advanced Calculus?,11/06/2022,0,n,,,,,,,,,,,,,,,,,,1,,,
Definition for Mathematical Formula,28/06/2022,1,n,,,,,,,,,,,,,,,,,,,,,1
How can I validate the existence of percentages above 100?,14/07/2022,12,n,,,,1,,,,,,,,,,,,,,,,,
Third isomorphism theorem: how important is it to state the relationship between subgroups?,19/07/2022,4,n,,,,,,,,,,,,,,,,,,,,,1
Experimental Evidence that Mathematical Reasoning is Important,19/07/2022,2,n,,,,,,,,,,,,,,,,,,,,,
Why Massively Multivariate open online calculus class (M2O2C2) on Coursera was discontinued?,22/07/2022,1,n,,,,,,,,,,,,,,,,,,,,,
Math Proofs - why are they important and how are they useful?,30/07/2022,19,n,,,,,,,,,,,,,,,,,,,1,,
"From Tycho, Kepler to Newton",16/08/2022,1,n,,,,,,,,,,,,,,,,,,1,,,
How can I build a protractor without a protractor?,08/09/2022,4,n,,,,,,,,,,,,,,,,,,,,,
"what could be some replacement language for the term ""spoon feeding""",12/09/2022,4,n,,,,1,,,,,,,,,,,,,,,,,
What are some research-level opportunities in mathematics that do not focus on proofs?,14/09/2022,11,n,,,,,,,,,,,,,,,,,,,,,
What are the leading journals in mathematics education?,01/10/2022,1,n,,,,,,,,,,,,,,,,,,,,,
"Why does math need to be practiced and exercised, when L1 Linguistic Competence is subconscious?",02/10/2022,8,n,,,,,,,,,,,,,,,,,,,,,
Can it be defended that 4–√4 is both 22 and −2−2 (and likewise for general square roots)?,04/10/2022,10,n,,,,,,,,,,,,,,,,,,,,,1
Elementary examples for non-reversible logical steps,28/10/2022,1,n,,,,1,,,,1,,,,,,,,,,,,,
What are some ways that one can progress from stage 2 to stage 3 of the rigor stages that Terry Tao has described?,02/11/2022,1,n,,,,,,,,,,,,,,,,,,1,,,
"Why don't exercises ask readers to discover results themselves, before requiring proof? Why disclose the result in the question?",04/11/2022,6,n,,,,,,,,,,,,,,,,,,,,,
"What other mathematicians have advocated for freely publicizing detailed solutions, to every exercise?",05/11/2022,2,n,,,,,,,,,,,,,,,,,,,,,
What age student should be able to answer this question?,09/11/2022,2,n,,,,,,,,,,,,,,,,,,,,,
Geometry in the Community College Curriculum,10/11/2022,3,n,,,,,,,,,,,,,,,,,,,1,,
